System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle5_fr_3	NEL-METO-micro-fuzzy-@1	ALL	0.297	0.438	0.354				49	116	63
aidalight-baseline_bundle5_fr_1	NEL-METO-micro-fuzzy-@1	ALL	0.213	0.312	0.254				35	129	77
team7_bundle5_fr_3	NEL-METO-micro-fuzzy-@1	ALL	0.025	0.357	0.047				40	1548	72
team7_bundle5_fr_1	NEL-METO-micro-fuzzy-@1	ALL	0.021	0.304	0.04				34	1560	78
team7_bundle5_fr_2	NEL-METO-micro-fuzzy-@1	ALL	0.021	0.304	0.04				34	1554	78
team33_bundle5_fr_1	NEL-METO-micro-fuzzy-@1	ALL	0	0.0	0				0	0	112
team37_bundle5_fr_1	NEL-METO-micro-fuzzy-@1	ALL	0.0	0.0	0				0	54	112
team10_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.461	0.679	0.549				76	89	36
team10_bundle5_fr_2	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.461	0.679	0.549				76	89	36
team10_bundle5_fr_3	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.455	0.67	0.542				75	90	37
aidalight-baseline_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.323	0.473	0.384				53	111	59
team7_bundle5_fr_3	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.041	0.58	0.076				65	1523	47
team7_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.038	0.536	0.07				60	1534	52
team7_bundle5_fr_2	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.037	0.527	0.069				59	1529	53
team33_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0	0.0	0				0	0	112
team37_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.0	0.0	0				0	54	112
team10_bundle5_fr_3	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.521	0.768	0.621				86	79	26
team10_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.515	0.759	0.614				85	80	27
team10_bundle5_fr_2	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.515	0.759	0.614				85	80	27
aidalight-baseline_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.323	0.473	0.384				53	111	59
team7_bundle5_fr_3	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.042	0.589	0.078				66	1522	46
team7_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.04	0.571	0.075				64	1530	48
team7_bundle5_fr_2	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.037	0.527	0.069				59	1529	53
team33_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0	0.0	0				0	0	112
team37_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.0	0.0	0				0	54	112
team10_bundle5_fr_3	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.552	0.812	0.657				91	74	21
team10_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.545	0.804	0.65				90	75	22
team10_bundle5_fr_2	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.545	0.804	0.65				90	75	22
aidalight-baseline_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.323	0.473	0.384				53	111	59
team7_bundle5_fr_3	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.042	0.598	0.079				67	1521	45
team7_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.041	0.58	0.076				65	1529	47
team7_bundle5_fr_2	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.037	0.527	0.069				59	1529	53
team33_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0	0.0	0				0	0	112
team37_bundle5_fr_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.0	0.0	0				0	54	112
